Channel,Rank,Bank,Row,Col,Count,Cycle,CMD
0,1,4,0,39,35,4568:,RD
0,1,4,0,39,36,4572:,RD
0,1,4,0,39,37,4576:,RD
0,1,4,0,39,38,4580:,RD
0,1,4,0,39,39,4584:,RD
0,1,4,0,39,40,4588:,RD
0,1,4,0,39,41,4592:,RD
0,1,4,0,39,42,4596:,RD
0,1,5,32708,24,1,1172:,RD
0,1,5,32708,24,2,1284:,RD
0,1,5,32708,24,3,1470:,RD
0,1,5,32708,24,4,1689:,RD
0,1,5,32708,24,5,180:,RD
0,1,5,32708,24,6,2784:,RD
0,1,5,32708,24,7,2832:,RD
0,1,5,32708,24,8,3037:,RD
0,1,5,32708,24,9,3421:,RD
0,1,5,32708,24,10,804:,RD
0,1,5,32708,25,1,1176:,RD
0,1,5,32708,25,2,1288:,RD
0,1,5,32708,25,3,1474:,RD
0,1,5,32708,25,4,1694:,RD
0,1,5,32708,25,5,185:,RD
0,1,5,32708,25,6,2047:,RD
0,1,5,32708,25,7,2788:,RD
0,1,5,32708,25,8,2836:,RD
0,1,5,32708,25,9,3041:,RD
0,1,5,32708,25,10,812:,RD
0,1,5,32708,26,1,1478:,RD
0,1,5,32708,26,2,1698:,RD
0,1,5,32708,26,3,189:,RD
0,1,5,32708,26,4,2051:,RD
0,1,5,32708,26,5,960:,RD
0,1,5,32708,27,1,1184:,RD
0,1,5,32708,27,2,1292:,RD
0,1,5,32708,27,3,2792:,RD
0,1,5,32708,27,4,2840:,RD
0,1,5,32708,27,5,3045:,RD
0,1,5,32708,32,1,194:,RD
0,1,5,32708,33,1,1773:,RD
0,1,5,32708,33,2,1777:,RD
0,1,5,32708,33,3,2059:,RD
0,1,5,32708,33,4,2063:,RD
0,1,5,32708,34,1,1677:,RD
0,1,5,32708,34,2,968:,RD
0,1,5,32708,35,1,1188:,RD
0,1,5,32708,36,1,3409:,RD
0,1,5,32708,37,1,2844:,RD
0,1,5,32708,39,1,2796:,RD
0,1,5,32708,40,1,1419:,RD
0,1,5,32708,41,1,2067:,RD
0,1,5,32708,42,1,1192:,RD
0,1,5,32708,42,2,1196:,RD
0,1,5,32708,42,3,1454:,RD
0,1,5,32708,42,4,1462:,RD
0,1,5,32708,42,5,2848:,RD
0,1,5,32708,42,6,3604:,RD
0,1,5,32708,42,7,997:,RD
0,1,5,32708,43,1,1781:,RD
0,1,5,32708,43,2,2800:,RD
0,1,5,32708,45,1,1681:,RD
0,1,5,32708,46,1,1005:,RD
0,1,5,32708,46,2,1013:,RD
0,1,5,32708,46,3,1204:,RD
0,1,5,32708,46,4,222:,RD
0,1,5,32708,46,5,227:,RD
0,1,5,32708,46,6,231:,RD
0,1,5,32708,46,7,3413:,RD
0,1,5,32708,46,8,386:,RD
0,1,5,32708,47,1,1001:,RD
0,1,5,32708,47,2,1200:,RD
0,1,5,32708,47,3,1466:,RD
0,1,5,32708,47,4,1685:,RD
0,1,5,32708,47,5,1785:,RD
0,1,5,32708,47,6,2149:,RD
0,1,5,32708,47,7,2828:,RD
0,1,5,32708,47,8,3033:,RD
0,1,5,32708,47,9,3417:,RD
0,1,5,32709,24,1,139:,RD
0,1,5,32709,26,1,1043:,RD
0,1,5,32709,26,2,1136:,RD
0,1,5,32709,26,3,1140:,RD
0,1,5,32709,26,4,1506:,RD
0,1,5,32709,26,5,1526:,RD
0,1,5,32709,26,6,1580:,RD
0,1,5,32709,26,7,1628:,RD
0,1,5,32709,26,8,1640:,RD
0,1,5,32709,26,9,1730:,RD
0,1,5,32709,26,10,1934:,RD
0,1,5,32709,26,11,2198:,RD
0,1,5,32709,26,12,2246:,RD
0,1,5,32709,26,13,2539:,RD
0,1,5,32709,26,14,2640:,RD
0,1,5,32709,26,15,2716:,RD
0,1,5,32709,26,16,2732:,RD
0,1,5,32709,26,17,2748:,RD
0,1,5,32709,26,18,3001:,RD
0,1,5,32709,26,19,3365:,RD
0,1,5,32709,26,20,3381:,RD
0,1,5,32709,26,21,3556:,RD
0,1,5,32709,26,22,422:,RD
0,1,5,32709,26,23,4384:,RD
0,1,5,32709,26,24,488:,RD
0,1,5,32709,26,25,98:,RD
0,1,5,32709,27,1,1144:,RD
0,1,5,32709,27,2,1248:,RD
0,1,5,32709,27,3,1252:,RD
0,1,5,32709,27,4,1644:,RD
0,1,5,32709,27,5,2583:,RD
0,1,5,32709,27,6,2587:,RD
0,1,5,32709,27,7,2720:,RD
0,1,5,32709,27,8,2921:,RD
0,1,5,32709,27,9,3005:,RD
0,1,5,32709,27,10,3093:,RD
0,1,5,32709,27,11,3212:,RD
0,1,5,32709,27,12,3369:,RD
0,1,5,32709,27,13,3564:,RD
0,1,5,32709,27,14,719:,RD
0,1,5,32709,28,1,1047:,RD
0,1,5,32709,28,2,1530:,RD
0,1,5,32709,28,3,1584:,RD
0,1,5,32709,28,4,2182:,RD
0,1,5,32709,28,5,2202:,RD
0,1,5,32709,28,6,2250:,RD
0,1,5,32709,28,7,2355:,RD
0,1,5,32709,28,8,2644:,RD
0,1,5,32709,28,9,2946:,RD
0,1,5,32709,28,10,3121:,RD
0,1,5,32709,28,11,3168:,RD
0,1,5,32709,28,12,430:,RD
0,1,5,32709,28,13,516:,RD
0,1,5,32709,28,14,723:,RD
0,1,5,32709,29,1,1256:,RD
0,1,5,32709,29,2,1648:,RD
0,1,5,32709,29,3,1726:,RD
0,1,5,32709,29,4,1735:,RD
0,1,5,32709,29,5,2591:,RD
0,1,5,32709,29,6,2752:,RD
0,1,5,32709,30,1,1232:,RD
0,1,5,32709,30,2,2929:,RD
0,1,5,32709,30,3,3073:,RD
0,1,5,32709,30,4,3373:,RD
0,1,5,32709,30,5,3568:,RD
0,1,5,32709,31,1,1051:,RD
